FID,Shape_Leng,Shape_Area,Tehsil,District,Province,Country,date,Lattitude,Longitude
371,1.747285828,0.076943545,Sinjhoro,Sanghar,Sindh,Pakistan,2018-11-30,26.05763347,68.81017701
372,0.967550152,0.046162176,Sobodhero,Khairpur,Sindh,Pakistan,2018-11-30,27.26633336,68.35454806
373,2.073517324,0.091211282,Sohawa,Jhelum,Punjab,Pakistan,2018-11-30,33.01362932,73.35325539
374,1.855159969,0.06170402,Sohbatpur,Sohbatpur,Balochistan,Pakistan,2018-11-30,28.50413094,68.65036457
375,1.850602737,0.142233713,Sonmiani,Las Bela,Balochistan,Pakistan,2018-11-30,25.42192099,66.78926413
376,1.287602481,0.056195613,Spinwam,North Waziristan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.15460895,70.31089152
377,3.722421834,0.436514777,Sui,Dera Bugti,Balochistan,Pakistan,2018-11-30,28.73193011,68.98258102
378,1.209832563,0.063699433,Sujawal,Sujawal,Sindh,Pakistan,2018-11-30,24.64723129,68.09217833
379,0.851432938,0.028581098,Sukkur,Sukkur,Sindh,Pakistan,2018-11-30,27.75057221,68.78135297
380,1.9968628,0.081929181,Summundari,Faisalabad,Punjab,Pakistan,2018-11-30,31.05619394,72.94259877
381,2.565326316,0.341147959,Surab,Kalat,Balochistan,Pakistan,2018-11-30,28.31927392,66.17814721
382,1.952110016,0.05603332,Swabi,Swabi,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.18795659,72.42829148
383,1.583942861,0.065980237,Swat Ranizai,Malakand PA,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.56733964,71.90281493
384,5.079280632,0.906012229,Taftan,Chagai,Balochistan,Pakistan,2018-11-30,29.13109267,61.81600464
385,0.968843598,0.039543524,Takht Bhai,Mardan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.33234626,71.94436114
386,1.622143301,0.083636164,Takht E Nasrati,Karak,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.98433522,71.13731891
387,2.902791491,0.30391442,Talagang,Chakwal,Punjab,Pakistan,2018-11-30,32.88901799,72.20448163
388,1.417254834,0.06952141,Tall,Hangu,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.38568691,70.70802053
389,1.497859909,0.044544855,Tamboo,Nasirabad,Balochistan,Pakistan,2018-11-30,28.485162,67.97429441
390,2.685121808,0.127506091,Tandlianwala,Faisalabad,Punjab,Pakistan,2018-11-30,30.91791498,73.0656192
391,0.992593477,0.037398495,Tando Adam,Sanghar,Sindh,Pakistan,2018-11-30,25.81504802,68.64293104
392,1.73939159,0.14118152,Tando Allah Yar,Tando Allah Yar,Sindh,Pakistan,2018-11-30,25.46544531,68.77566671
393,2.038281085,0.155155249,Tando Bago,Badin,Sindh,Pakistan,2018-11-30,24.81644415,69.07968805
394,0.993430807,0.025393298,Tando Ghulam Hyder,Tando Muhammad Khan,Sindh,Pakistan,2018-11-30,24.94757975,68.62886962
395,1.319055179,0.031713145,Tando Muhammad Khan,Tando Muhammad Khan,Sindh,Pakistan,2018-11-30,25.12287171,68.58823398
396,0.828113831,0.033714189,Tangi,Charsadda,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.34179349,71.70792291
397,1.44215645,0.071213428,Tangwani,Kashmore,Sindh,Pakistan,2018-11-30,28.28569731,69.02994867
398,1.905292112,0.160238733,Tank,Tank,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.24356165,70.39242698
399,2.635189515,0.251527068,Taunsa,Dera Ghazi Khan,Punjab,Pakistan,2018-11-30,30.92751737,70.62403876
400,0.889423359,0.02712539,Taxila,Rawalpindi,Punjab,Pakistan,2018-11-30,33.73526794,72.79155257
401,3.765125023,0.473652021,Thano Bula Khan,Jamshoro,Sindh,Pakistan,2018-11-30,25.5083078,67.6230133
402,3.217087736,0.333076973,Thatta,Thatta,Sindh,Pakistan,2018-11-30,25.02306506,67.95598615
403,1.512601056,0.123330793,Thul,Jacobabad,Sindh,Pakistan,2018-11-30,28.28295739,68.71971182
404,1.274913099,0.065644833,Tiarza,South Waziristan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.45331438,69.72110775
405,1.669489934,0.106777099,Timergara,Lower Dir,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.81253328,71.92464829
406,2.284630799,0.119671755,Toba Tek Singh,Toba Tek Singh,Punjab,Pakistan,2018-11-30,30.91552185,72.52916307
407,1.322355763,0.050067158,Toi Khulla,South Waziristan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.03710253,69.48169105
408,1.266887963,0.043311938,Topi,Swabi,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.15183396,72.65514321
409,1.360905636,0.045854801,Tor Ghar,Tor Ghar,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.55477365,72.83423351
410,0.792603438,0.030003762,Totalai,Buner,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.26157423,72.53442827
411,2.525604668,0.264947015,Tump,Kech,Balochistan,Pakistan,2018-11-30,26.22254955,62.40143325
412,1.367989136,0.059171278,Ubauro,Ghotki,Sindh,Pakistan,2018-11-30,28.16716673,69.70213863
413,3.148317921,0.329393273,Umerkot,Umerkot,Sindh,Pakistan,2018-11-30,25.44079033,69.93637478
414,1.418566048,0.095629392,Upper Kurram,Kurram,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.88092085,70.07370759
415,1.085779872,0.050797264,Upper Momand,Mohmand,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.49094064,71.13021371
416,0.918781005,0.025396097,Upper Orakzai,Orakzai,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.69717778,70.71558022
417,0.917358346,0.036918921,Usta Muhammad,Jaffarabad,Balochistan,Pakistan,2018-11-30,28.15685884,67.97630524
418,1.958072896,0.180747065,Uthal,Las Bela,Balochistan,Pakistan,2018-11-30,25.84871388,66.7139801
419,0.671976061,0.016739892,Utman Khel Tehsil,Bajaur,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.74127955,71.70121836
420,2.223625058,0.130230544,Vehari,Vehari,Punjab,Pakistan,2018-11-30,30.02081808,72.41359002
421,5.648993089,0.954058054,Wadh,Khuzdar,Balochistan,Pakistan,2018-11-30,26.82091107,66.74470604
422,3.496818462,0.213872817,Wana,South Waziristan,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.13361992,69.76386571
423,1.543101111,0.096667197,Warah,Qambar Shahdadkot,Sindh,Pakistan,2018-11-30,27.40774208,67.78153289
424,1.075965222,0.064360571,Wari,Upper Dir,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.98888953,72.05312329
425,4.015360005,0.686145247,Washuk,Washuk,Balochistan,Pakistan,2018-11-30,27.75799646,64.51398993
426,1.99573979,0.079313239,Wazir,FR Bannu,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.07901265,70.58109342
427,1.748617424,0.115513036,Wazirabad,Gujranwala,Punjab,Pakistan,2018-11-30,32.32134257,73.97102749
428,0.896788778,0.02602038,Yaka Ghund,Mohmand,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.25284458,71.3651337
429,7.670469681,1.772182708,Yazman,Bahawalpur,Punjab,Pakistan,2018-11-30,28.68086588,71.71031772
430,2.431825571,0.293875386,Zehri,Khuzdar,Balochistan,Pakistan,2018-11-30,28.57649453,66.87854448
431,5.130964579,0.719915775,Zhob,Zhob,Balochistan,Pakistan,2018-11-30,31.29836884,69.33240908
432,1.646542526,0.135492449,Ziarat,Ziarat,Balochistan,Pakistan,2018-11-30,30.43530177,67.50160768
